,0
0,2.0
1,2.0
2,2.0
3,2.0
4,2.0
5,4.0
6,2.0
7,1.0
8,1.0
9,2.0
10,4.0
11,2.0
12,1.0
13,1.0
14,2.0
15,2.0
16,2.0
17,2.0
18,2.0
19,2.0
20,1.0
21,2.0
22,4.0
23,1.0
24,4.0
25,2.0
26,1.0
27,1.0
28,1.0
29,4.0
30,2.0
31,3.0
32,1.0
33,2.0
34,3.0
35,3.0
36,4.0
37,2.0
38,2.0
39,1.0
40,1.0
41,1.0
42,3.0
43,2.0
44,2.0
45,3.0
46,2.0
47,1.0
48,2.0
49,1.0
50,1.0
51,2.0
52,2.0
53,2.0
54,2.0
55,3.0
56,1.0
57,3.0
58,3.0
59,1.0
60,1.0
61,1.0
62,2.0
63,1.0
64,1.0
65,1.0
66,2.0
67,2.0
68,2.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,2.0
75,1.0
76,1.0
77,2.0
78,1.0
79,1.0
80,1.0
81,2.0
82,2.0
83,1.0
84,2.0
85,2.0
86,1.0
87,4.0
88,1.0
89,1.0
90,2.0
91,1.0
92,3.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,2.0
99,1.0
100,2.0
101,1.0
102,2.0
103,1.0
104,1.0
105,2.0
106,2.0
107,1.0
108,2.0
109,1.0
110,2.0
111,2.0
112,2.0
113,1.0
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,1.0
122,2.0
123,1.0
124,1.0
125,2.0
126,4.0
127,2.0
128,2.0
129,1.0
130,1.0
131,1.0
132,1.0
133,1.0
134,2.0
135,1.0
136,1.0
137,3.0
138,2.0
139,1.0
140,2.0
141,2.0
142,2.0
143,1.0
144,1.0
145,3.0
146,3.0
147,1.0
148,1.0
149,1.0
150,4.0
151,2.0
152,1.0
153,1.0
154,4.0
155,1.0
156,1.0
157,4.0
158,4.0
159,1.0
160,1.0
161,1.0
162,2.0
163,2.0
164,4.0
165,3.0
166,2.0
167,4.0
168,3.0
169,3.0
170,1.0
171,4.0
172,3.0
173,3.0
174,1.0
175,1.0
176,1.0
177,2.0
178,4.0
179,1.0
180,4.0
181,2.0
182,2.0
183,2.0
184,2.0
185,1.0
186,2.0
187,1.0
188,1.0
189,3.0
190,3.0
191,3.0
192,3.0
193,3.0
194,3.0
195,3.0
196,3.0
197,3.0
198,3.0
199,3.0
200,3.0
201,3.0
202,3.0
203,3.0
204,3.0
205,3.0
206,3.0
207,3.0
208,3.0
209,3.0
210,3.0
211,3.0
212,3.0
213,3.0
214,3.0
215,3.0
216,3.0
217,3.0
218,3.0
219,3.0
220,3.0
221,3.0
222,3.0
223,3.0
224,3.0
225,3.0
226,3.0
227,3.0
228,3.0
229,3.0
230,3.0
231,3.0
232,3.0
233,3.0
234,3.0
235,3.0
236,3.0
237,3.0
238,3.0
239,3.0
240,3.0
241,3.0
242,3.0
243,3.0
244,3.0
245,3.0
246,3.0
247,3.0
248,3.0
249,3.0
250,3.0
251,3.0
252,3.0
253,3.0
254,3.0
255,3.0
256,3.0
257,3.0
258,3.0
259,3.0
260,4.0
261,4.0
262,4.0
263,4.0
264,4.0
265,4.0
266,4.0
267,4.0
268,4.0
269,4.0
270,4.0
271,4.0
272,4.0
273,4.0
274,4.0
275,4.0
276,4.0
277,4.0
278,4.0
279,4.0
280,4.0
281,4.0
282,4.0
283,4.0
284,4.0
285,4.0
286,4.0
287,4.0
288,4.0
289,4.0
290,4.0
291,4.0
292,4.0
293,4.0
294,4.0
295,4.0
296,4.0
297,4.0
298,4.0
299,4.0
300,4.0
301,4.0
302,4.0
303,4.0
304,4.0
305,4.0
306,4.0
307,4.0
308,4.0
309,4.0
310,4.0
311,4.0
312,4.0
313,4.0
314,4.0
315,4.0
316,4.0
317,4.0
318,4.0
319,4.0
320,4.0
321,4.0
322,4.0
323,4.0
324,4.0
325,4.0
326,4.0
327,4.0
328,4.0
329,4.0
330,4.0
331,2.0
332,2.0
333,2.0
334,2.0
335,2.0
336,2.0
337,2.0
338,2.0
339,2.0
340,2.0
341,2.0
342,2.0
343,2.0
344,2.0
345,2.0
346,2.0
347,2.0
348,2.0
349,2.0
350,2.0
351,2.0
